halo, total_mass, baryon_mass, particle_mass, star_mass 
[212, 2.7753664243e+11 Msun, 12897539954.9 Msun, 2.64639102475e+11 Msun, 38461116326728040141720561649867189928329216L]
[213, 3.69541506222e+11 Msun, 21185380791.5 Msun, 3.48356125431e+11 Msun, 0]
[214, 3.92799767002e+11 Msun, 36870682322.3 Msun, 3.55929084679e+11 Msun, 0]
[215, 3.88485247995e+11 Msun, 33244614156.2 Msun, 3.55240633839e+11 Msun, 0]
[216, 5.25946300955e+11 Msun, 77764803611.8 Msun, 4.48181497343e+11 Msun, 0]
[217, 3.27984536411e+11 Msun, 40212084967.6 Msun, 2.87772451443e+11 Msun, 0]
[218, 5.88947243397e+11 Msun, 51267136753.8 Msun, 5.37680106643e+11 Msun, 0]
[219, 5.33605049399e+11 Msun, 95061863826.7 Msun, 4.38543185572e+11 Msun, 0]
[220, 6.29555097462e+11 Msun, 93251892499.8 Msun, 5.36303204962e+11 Msun, 0]
[221, 3.24929326389e+11 Msun, 22699407290.2 Msun, 3.02229919099e+11 Msun, 0]
[222, 3.95585980881e+11 Msun, 51360560494.9 Msun, 3.44225420386e+11 Msun, 0]
[223, 3.69450131853e+11 Msun, 44501335008.2 Msun, 3.24948796845e+11 Msun, 0]
[224, 3.68432942307e+11 Msun, 57253162277.8 Msun, 3.11179780029e+11 Msun, 0]
[225, 2.94243018525e+11 Msun, 31254797350.3 Msun, 2.62988221175e+11 Msun, 0]
[226, 3.29647092822e+11 Msun, 50136051468.8 Msun, 2.79511041354e+11 Msun, 0]
[227, 3.15361134742e+11 Msun, 23457978254.5 Msun, 2.91903156488e+11 Msun, 0]
[228, 3.95067125517e+11 Msun, 38449589996.5 Msun, 3.5661753552e+11 Msun, 0]
[229, 1.92536853587e+12 Msun, 2.09749040662e+11 Msun, 1.71561949521e+12 Msun, 0]
[230, 2.79337975488e+11 Msun, 32872574491.1 Msun, 2.46465400997e+11 Msun, 0]
[231, 3.2184048698e+11 Msun, 24429723766.0 Msun, 2.97410763214e+11 Msun, 0]
[232, 1.86201862579e+12 Msun, 3.63949596265e+11 Msun, 1.49806902952e+12 Msun, 0]
[233, 4.58879649966e+11 Msun, 67151121566.2 Msun, 3.917285284e+11 Msun, 0]
